Bairros;Valores;Informações;Descricao
"Blumenau, Velha
Cód.: 046";R$ 330.000,00;"2 quartos
1 suíte
1 vaga
78,9 m²";Apartamento no Bairro Velha em Blumenau com 2 Dormitórios (1 suíte) e 78.91 m² - 046
"Blumenau, Água Verde
Cód.: CA0427";R$ 954.000,00;"3 quartos
1 suíte
3 vagas
189,0 m²";Casa no Bairro Água Verde em Blumenau com 3 Dormitórios (1 suíte) e 189 m² - CA0427
"Blumenau, Victor Konder
Cód.: AP0492";R$ 620.000,00;"3 quartos
2 suítes
2 vagas
99,0 m²";Apartamento no Bairro Victor Konder em Blumenau com 3 Dormitórios (2 suítes) e 99 m² - AP0492
"Blumenau, Fortaleza
Cód.: 2410A1";R$ 450.000,00;"2 quartos
1 suíte
1 vaga
77,6 m²";Apartamento no Bairro Fortaleza em Blumenau com 2 Dormitórios (1 suíte) e 77.57 m² - 2410A1
"Blumenau, Velha Central
Cód.: 6005435";R$ 550.000,00;"4 quartos
1 suíte
4 vagas
186,0 m²";Casa no Bairro Velha Central em Blumenau com 4 Dormitórios (1 suíte) e 186 m² - 6005435
"Blumenau, Victor Konder
Cód.: 4011033";R$ 750.000,00;"2 quartos
2 suítes
2 vagas
91,1 m²";Apartamento no Bairro Victor Konder em Blumenau com 2 Dormitórios (2 suítes) e 91.06 m² - 4011033
"Blumenau, Velha
Cód.: CA02870V";R$ 1.300.000,00;"3 quartos
3 suítes
4 vagas
371,0 m²";Casa no Bairro Velha em Blumenau com 3 Dormitórios (3 suítes) e 371 m² - CA02870V
"Blumenau, Vila Nova
Cód.: 3318859";R$ 355.000,00;"2 quartos
1 suíte
2 vagas
83,4 m²";Apartamento no Bairro Vila Nova em Blumenau com 2 Dormitórios (1 suíte) e 83.38 m² - 3318859
"Blumenau, Água Verde
Cód.: 2221";R$ 379.990,00;"2 quartos
1 suíte
1 vaga
70,0 m²";Casa no Bairro Água Verde em Blumenau com 2 Dormitórios (1 suíte) e 70 m² - 2221
"Blumenau, Victor Konder
Cód.: AP5795";R$ 735.000,00;"3 quartos
3 suítes
2 vagas
113,0 m²";Apartamento no Bairro Victor Konder em Blumenau com 3 Dormitórios (3 suítes) e 113 m² - AP5795
"Blumenau, Itoupava Norte
Cód.: 4187";R$ 299.000,00;"2 quartos
1 vaga
74,0 m²";Casa no Bairro Itoupava Norte em Blumenau com 2 Dormitórios e 74 m² - 4187
"Blumenau, Itoupava Norte
Cód.: 4265";R$ 450.000,00;"3 quartos
1 suíte
2 vagas
102,8 m²";Casa no Bairro Itoupava Norte em Blumenau com 3 Dormitórios (1 suíte) e 102.76 m² - 4265
"Blumenau, Escola Agrícola
Cód.: 4609";R$ 450.000,00;"3 quartos
1 suíte
2 vagas
88,0 m²";Casa no Bairro Escola Agrícola em Blumenau com 3 Dormitórios (1 suíte) e 88 m² - 4609
"Blumenau, Centro
Cód.: 3491201";R$ 399.000,00;"3 quartos
1 suíte
1 vaga
109,0 m²";Apartamento no Bairro Centro em Blumenau com 3 Dormitórios (1 suíte) e 109.04 m² - 3491201
"Blumenau, Velha Central
Cód.: 382961";R$ 285.000,00;"2 quartos
2 suítes
1 vaga
76,0 m²";Casa no Bairro Velha Central em Blumenau com 2 Dormitórios (2 suítes) e 76 m² - 382961
"Blumenau, Velha
Cód.: 1010";R$ 649.000,00;"3 quartos
1 suíte
2 vagas
98,0 m²";Apartamento no Bairro Velha em Blumenau com 3 Dormitórios (1 suíte) e 98 m² - 1010
"Blumenau, Victor Konder
Cód.: AP0064";R$ 598.000,00;"3 quartos
1 suíte
2 vagas
144,0 m²";Apartamento no Bairro Victor Konder em Blumenau com 3 Dormitórios (1 suíte) e 144 m² - AP0064
"Blumenau, Escola Agrícola
Cód.: CA03079V";R$ 650.000,00;"4 quartos
1 suíte
2 vagas
150,0 m²";Casa no Bairro Escola Agrícola em Blumenau com 4 Dormitórios (1 suíte) e 150 m² - CA03079V
"Blumenau, Itoupava Seca
Cód.: 3319055";R$ 183.700,00;17,8 m²;Apartamento no Bairro Itoupava Seca em Blumenau com 17.84 m² - 3319055
"Blumenau, Itoupava Seca
Cód.: AP0330";R$ 330.000,00;"2 quartos
1 vaga
70,0 m²";Apartamento no Bairro Itoupava Seca em Blumenau com 2 Dormitórios e 70 m² - AP0330
"Blumenau, Velha
Cód.: 1945";R$ 569.900,00;"3 quartos
1 suíte
1 vaga
110,2 m²";Apartamento no Bairro Velha em Blumenau com 3 Dormitórios (1 suíte) e 110.2 m² - 1945
"Blumenau, Escola Agrícola
Cód.: 3317120";R$ 420.000,00;"3 quartos
1 suíte
2 vagas
65,0 m²";Casa no Bairro Escola Agrícola em Blumenau com 3 Dormitórios (1 suíte) e 65 m² - 3317120
"Blumenau, Itoupava Central
Cód.: 1336505";R$ 650.000,00;"3 quartos
1 suíte
2 vagas
140,0 m²";Casa no Bairro Itoupava Central em Blumenau com 3 Dormitórios (1 suíte) e 140 m² - 1336505
"Blumenau, Água Verde
Cód.: 2917";R$ 440.000,00;"3 quartos
1 vaga
118,0 m²";Casa no Bairro Água Verde em Blumenau com 3 Dormitórios e 118 m² - 2917
"Blumenau, Centro
Cód.: 4112625";R$ 315.000,00;"2 quartos
100,0 m²";Apartamento no Bairro Centro em Blumenau com 2 Dormitórios e 100 m² - 4112625
"Blumenau, Itoupava Central
Cód.: CA00070V";R$ 260.000,00;"2 quartos
1 vaga";Casa no Bairro Itoupava Central em Blumenau com 2 Dormitórios - CA00070V
"Blumenau, Escola Agrícola
Cód.: AP508V";R$ 449.000,00;"2 quartos
1 suíte
1 vaga
73,0 m²";Apartamento no Bairro Escola Agrícola em Blumenau com 2 Dormitórios (1 suíte) e 73 m² - AP508V
"Blumenau, Velha
Cód.: 4651762";R$ 360.000,00;"2 quartos
1 vaga
70,7 m²";Casa no Bairro Velha em Blumenau com 2 Dormitórios e 70.66 m² - 4651762
"Blumenau, Tribess
Cód.: 3031345";R$ 590.000,00;"5 quartos
2 suítes
2 vagas
224,0 m²";Casa no Bairro Tribess em Blumenau com 5 Dormitórios (2 suítes) e 224 m² - 3031345
"Blumenau, Itoupava Central
Cód.: A80114";R$ 480.000,00;"3 quartos
1 suíte
2 vagas
183,0 m²";Casa no Bairro Itoupava Central em Blumenau com 3 Dormitórios (1 suíte) e 183 m² - A80114
"Blumenau, Velha
Cód.: 3352";R$ 239.000,00;"2 quartos
1 vaga";Apartamento no Bairro Velha em Blumenau com 2 Dormitórios - 3352
"Blumenau, Centro
Cód.: AP1778";R$ 285.000,00;"2 quartos
2 vagas
68,0 m²";Apartamento no Bairro Centro em Blumenau com 2 Dormitórios e 68 m² - AP1778
"Blumenau, Velha
Cód.: AP1685";R$ 240.000,00;"3 quartos
1 vaga";Apartamento no Bairro Velha em Blumenau com 3 Dormitórios - AP1685
"Blumenau, Garcia
Cód.: 4443";R$ 750.000,00;"4 quartos
2 vagas
173,0 m²";Casa no Bairro Garcia em Blumenau com 4 Dormitórios e 173 m² - 4443
"Blumenau, Itoupava Central
Cód.: 4342";R$ 375.000,00;"3 quartos
1 suíte
2 vagas
106,9 m²";Casa no Bairro Itoupava Central em Blumenau com 3 Dormitórios (1 suíte) e 106.89 m² - 4342
"Blumenau, Água Verde
Cód.: 5007064";R$ 379.000,00;"3 quartos
1 suíte
2 vagas
140,0 m²";Casa no Bairro Água Verde em Blumenau com 3 Dormitórios (1 suíte) e 140 m² - 5007064
"Blumenau, Garcia
Cód.: 047";R$ 260.000,00;"2 quartos
1 vaga
72,0 m²";Apartamento no Bairro Garcia em Blumenau com 2 Dormitórios e 72.02 m² - 047
"Blumenau, Passo Manso
Cód.: 6160575";R$ 350.000,00;"3 quartos
1 suíte
83,0 m²";Casa no Bairro Passo Manso em Blumenau com 3 Dormitórios (1 suíte) e 83 m² - 6160575
"Blumenau, Itoupavazinha
Cód.: 2612";R$ 395.000,00;"2 quartos
2 vagas
90,0 m²";Casa no Bairro Itoupavazinha em Blumenau com 2 Dormitórios e 90 m² - 2612
"Blumenau, Itoupava Central
Cód.: 4660341";R$ 349.900,00;"3 quartos
1 vaga
137,9 m²";Casa no Bairro Itoupava Central em Blumenau com 3 Dormitórios e 137.88 m² - 4660341
"Blumenau, Fortaleza
Cód.: CA2068";R$ 410.000,00;"3 quartos
2 vagas
200,0 m²";Casa no Bairro Fortaleza em Blumenau com 3 Dormitórios e 200 m² - CA2068
"Blumenau, Garcia
Cód.: V01272";R$ 190.000,00;"3 quartos
1 vaga
148,4 m²";Casa no Bairro Garcia em Blumenau com 3 Dormitórios e 148.36 m² - V01272
"Blumenau, Valparaiso
Cód.: V01282";R$ 286.200,00;"2 quartos
2 vagas
100,0 m²";Casa no Bairro Valparaiso em Blumenau com 2 Dormitórios e 100 m² - V01282
"Blumenau, Salto Weissbach
Cód.: 4850339";R$ 259.000,00;"3 quartos
3 vagas
216,0 m²";Casa no Bairro Salto Weissbach em Blumenau com 3 Dormitórios e 216 m² - 4850339
"Blumenau, Itoupava Norte
Cód.: AP1651";R$ 468.000,00;"2 quartos
1 suíte
2 vagas
69,0 m²";Apartamento no Bairro Itoupava Norte em Blumenau com 2 Dormitórios (1 suíte) e 69 m² - AP1651
"Blumenau, Vila Nova
Cód.: 734";R$ 420.000,00;"3 quartos
1 suíte
2 vagas
104,0 m²";Apartamento no Bairro Vila Nova em Blumenau com 3 Dormitórios (1 suíte) e 104 m² - 734
"Blumenau, Tribess
Cód.: 0249";R$ 210.000,00;"2 quartos
1 vaga
62,1 m²";Apartamento no Bairro Tribess em Blumenau com 2 Dormitórios e 62.1 m² - 0249
"Blumenau, Água Verde
Cód.: 4121379";R$ 399.000,00;"3 quartos
1 suíte
2 vagas
107,0 m²";Casa no Bairro Água Verde em Blumenau com 3 Dormitórios (1 suíte) e 107 m² - 4121379
"Blumenau, Garcia
Cód.: 3301148";R$ 395.000,00;"2 quartos
1 vaga
78,0 m²";Apartamento no Bairro Garcia em Blumenau com 2 Dormitórios e 78 m² - 3301148
"Blumenau, Victor Konder
Cód.: AP0404";R$ 380.000,00;"1 quarto
1 vaga
44,0 m²";Apartamento no Bairro Victor Konder em Blumenau com 1 Dormitórios e 44 m² - AP0404
"Blumenau, Itoupava Central
Cód.: 3491204";R$ 199.000,00;"2 quartos
1 vaga
48,0 m²";Apartamento no Bairro Itoupava Central em Blumenau com 2 Dormitórios e 48 m² - 3491204
"Blumenau, Progresso
Cód.: V01231";R$ 690.000,00;"4 quartos
3 vagas
326,7 m²";Casa no Bairro Progresso em Blumenau com 4 Dormitórios e 326.71 m² - V01231
"Blumenau, Centro
Cód.: 303";R$ 1.100.000,00;"3 quartos
1 suíte
2 vagas
106,0 m²";Apartamento no Bairro Centro em Blumenau com 3 Dormitórios (1 suíte) e 106 m² - 303
"Blumenau, Velha
Cód.: 6432517";R$ 250.000,00;"3 quartos
1 vaga
78,4 m²";Apartamento no Bairro Velha em Blumenau com 3 Dormitórios e 78.35 m² - 6432517
"Blumenau, Victor Konder
Cód.: CA0894";R$ 650.000,00;"5 quartos
280,0 m²";Casa no Bairro Victor Konder em Blumenau com 5 Dormitórios e 280 m² - CA0894
"Blumenau, Fortaleza
Cód.: 2008";R$ 346.000,00;"2 quartos
58,0 m²";Apartamento no Bairro Fortaleza em Blumenau com 2 Dormitórios e 58 m² - 2008
"Blumenau, Escola Agrícola
Cód.: 1578";R$ 350.000,00;"2 quartos
1 vaga
57,0 m²";Apartamento no Bairro Escola Agrícola em Blumenau com 2 Dormitórios e 57 m² - 1578
"Blumenau, Velha
Cód.: 6301410";R$ 385.000,00;"2 quartos
1 suíte
1 vaga
69,8 m²";Apartamento no Bairro Velha em Blumenau com 2 Dormitórios (1 suíte) e 69.8 m² - 6301410
"Blumenau, Velha
Cód.: AP0135";R$ 330.000,00;"2 quartos
1 suíte
1 vaga
78,0 m²";Apartamento no Bairro Velha em Blumenau com 2 Dormitórios (1 suíte) e 78 m² - AP0135
"Blumenau, Velha
Cód.: 934";R$ 425.000,00;"2 quartos
56,0 m²";Apartamento no Bairro Velha em Blumenau com 2 Dormitórios e 56 m² - 934
"Blumenau, Victor Konder
Cód.: 2066";R$ 650.000,00;"3 quartos
1 suíte
2 vagas
100,0 m²";Apartamento no Bairro Victor Konder em Blumenau com 3 Dormitórios (1 suíte) e 100 m² - 2066
"Blumenau, Velha
Cód.: AP0110";R$ 750.000,00;"3 quartos
1 suíte
2 vagas
95,0 m²";Apartamento no Bairro Velha em Blumenau com 3 Dormitórios (1 suíte) e 95 m² - AP0110
"Blumenau, Garcia
Cód.: AP3864";R$ 395.000,00;"2 quartos
1 vaga
78,0 m²";Apartamento no Bairro Garcia em Blumenau com 2 Dormitórios e 78 m² - AP3864
"Blumenau, Escola Agrícola
Cód.: CA0671";R$ 1.500.000,00;"3 quartos
3 suítes
336,0 m²";Casa no Bairro Escola Agrícola em Blumenau com 3 Dormitórios (3 suítes) e 336 m² - CA0671
"Blumenau, Glória
Cód.: 6570889";R$ 490.000,00;"3 quartos
1 suíte
4 vagas
220,0 m²";Casa no Bairro Glória em Blumenau com 3 Dormitórios (1 suíte) e 220 m² - 6570889
"Blumenau, Velha
Cód.: 7557";R$ 500.000,00;"2 quartos
2 suítes
2 vagas
105,0 m²";Casa no Bairro Velha em Blumenau com 2 Dormitórios (2 suítes) e 105 m² - 7557
"Blumenau, Salto
Cód.: 1335939";R$ 660.000,00;"3 quartos
1 suíte
2 vagas
286,0 m²";Casa no Bairro Salto em Blumenau com 3 Dormitórios (1 suíte) e 286 m² - 1335939
"Blumenau, Escola Agrícola
Cód.: 1854";R$ 420.000,00;"3 quartos
1 suíte
1 vaga
70,0 m²";Casa no Bairro Escola Agrícola em Blumenau com 3 Dormitórios (1 suíte) e 70 m² - 1854
"Blumenau, Itoupava Central
Cód.: 4660327";R$ 265.000,00;"2 quartos
1 vaga
54,0 m²";Apartamento no Bairro Itoupava Central em Blumenau com 2 Dormitórios e 54 m² - 4660327
"Blumenau, Água Verde
Cód.: 590121006-69";R$ 429.000,00;"5 quartos
1 suíte
2 vagas
222,0 m²";Casa no Bairro Água Verde em Blumenau com 5 Dormitórios (1 suíte) e 222 m² - 590121006-69
"Blumenau, Velha
Cód.: CA0682";R$ 649.000,00;"4 quartos
2 suítes
4 vagas
222,0 m²";Casa no Bairro Velha em Blumenau com 4 Dormitórios (2 suítes) e 222 m² - CA0682
"Blumenau, Victor Konder
Cód.: 4048";R$ 450.000,00;"2 quartos
2 suítes
1 vaga
98,0 m²";Apartamento no Bairro Victor Konder em Blumenau com 2 Dormitórios (2 suítes) e 98 m² - 4048
"Blumenau, Escola Agrícola
Cód.: A-26";R$ 2.979.000,00;"4 quartos
3 suítes
10 vagas
350,0 m²";Casa no Bairro Escola Agrícola em Blumenau com 4 Dormitórios (3 suítes) e 350 m² - A-26
"Blumenau, Victor Konder
Cód.: 3110830";R$ 270.000,00;"1 quarto
1 suíte
1 vaga
50,0 m²";Apartamento no Bairro Victor Konder em Blumenau com 1 Dormitórios (1 suíte) e 50 m² - 3110830
"Blumenau, Escola Agrícola
Cód.: 4112002";R$ 850.000,00;"3 quartos
1 suíte
2 vagas
180,0 m²";Casa no Bairro Escola Agrícola em Blumenau com 3 Dormitórios (1 suíte) e 180 m² - 4112002
"Blumenau, Boa Vista
Cód.: 1342";R$ 240.000,00;"2 quartos
1 vaga
80,0 m²";Apartamento no Bairro Boa Vista em Blumenau com 2 Dormitórios e 80 m² - 1342
"Blumenau, Progresso
Cód.: 457";R$ 350.000,00;"2 quartos
2 vagas
67,0 m²";Casa no Bairro Progresso em Blumenau com 2 Dormitórios e 67 m² - 457
"Blumenau, Victor Konder
Cód.: AP6010";R$ 585.000,00;"2 quartos
1 suíte
2 vagas
95,0 m²";Apartamento no Bairro Victor Konder em Blumenau com 2 Dormitórios (1 suíte) e 95 m² - AP6010
"Blumenau, Escola Agrícola
Cód.: 2097";R$ 335.000,00;"2 quartos
1 suíte
1 vaga
64,0 m²";Apartamento no Bairro Escola Agrícola em Blumenau com 2 Dormitórios (1 suíte) e 64 m² - 2097
"Blumenau, Victor Konder
Cód.: AP0091";R$ 655.000,00;"2 quartos
1 suíte
2 vagas
67,0 m²";Apartamento no Bairro Victor Konder em Blumenau com 2 Dormitórios (1 suíte) e 67 m² - AP0091
"Blumenau, Bom Retiro
Cód.: AP0468";R$ 980.000,00;"3 quartos
3 suítes
3 vagas
132,0 m²";Apartamento no Bairro Bom Retiro em Blumenau com 3 Dormitórios (3 suítes) e 132 m² - AP0468
"Blumenau, Fortaleza
Cód.: 6301408";R$ 369.000,00;"2 quartos
1 suíte
2 vagas
83,4 m²";Apartamento no Bairro Fortaleza em Blumenau com 2 Dormitórios (1 suíte) e 83.43 m² - 6301408
"Blumenau, Boa Vista
Cód.: AP0568";R$ 295.000,00;"2 quartos
1 vaga
55,0 m²";Apartamento no Bairro Boa Vista em Blumenau com 2 Dormitórios e 55 m² - AP0568
"Blumenau, Itoupava Central
Cód.: CA0519";R$ 380.000,00;"3 quartos
1 suíte
2 vagas
78,0 m²";Casa no Bairro Itoupava Central em Blumenau com 3 Dormitórios (1 suíte) e 78 m² - CA0519
"Blumenau, Escola Agrícola
Cód.: AP0824";R$ 350.000,00;"2 quartos
1 suíte
1 vaga
63,0 m²";Apartamento no Bairro Escola Agrícola em Blumenau com 2 Dormitórios (1 suíte) e 63 m² - AP0824
"Blumenau, Velha
Cód.: AP1594";R$ 350.000,00;"2 quartos
1 suíte
1 vaga
64,0 m²";Apartamento no Bairro Velha em Blumenau com 2 Dormitórios (1 suíte) e 64 m² - AP1594
"Blumenau, Salto
Cód.: AP0824";R$ 275.000,00;"2 quartos
1 vaga
52,0 m²";Apartamento no Bairro Salto em Blumenau com 2 Dormitórios e 52 m² - AP0824
"Blumenau, Badenfurt
Cód.: AP3923";R$ 360.000,00;"2 quartos
1 suíte
1 vaga
116,0 m²";Apartamento no Bairro Badenfurt em Blumenau com 2 Dormitórios (1 suíte) e 116 m² - AP3923
"Blumenau, Velha
Cód.: SO0434";R$ 499.000,00;"3 quartos
1 suíte
2 vagas
131,0 m²";Casa no Bairro Velha em Blumenau com 3 Dormitórios (1 suíte) e 131 m² - SO0434
"Blumenau, Itoupava Central
Cód.: 2109";R$ 289.990,00;"2 quartos
1 vaga
49,0 m²";Apartamento no Bairro Itoupava Central em Blumenau com 2 Dormitórios e 49 m² - 2109
"Blumenau, Salto Weissbach
Cód.: 3479020";R$ 390.000,00;"2 quartos
2 vagas
80,0 m²";Casa no Bairro Salto Weissbach em Blumenau com 2 Dormitórios e 80 m² - 3479020
"Blumenau, Ribeirão Fresco
Cód.: 4652012";R$ 320.000,00;"2 quartos
1 vaga
56,0 m²";Apartamento no Bairro Ribeirão Fresco em Blumenau com 2 Dormitórios e 56 m² - 4652012
"Blumenau, Victor Konder
Cód.: 5490027";R$ 450.000,00;"3 quartos
1 suíte
142,9 m²";Apartamento no Bairro Victor Konder em Blumenau com 3 Dormitórios (1 suíte) e 142.92 m² - 5490027
"Blumenau, Velha Central
Cód.: 5007036";R$ 649.000,00;"5 quartos
2 suítes
8 vagas
223,0 m²";Casa no Bairro Velha Central em Blumenau com 5 Dormitórios (2 suítes) e 222.96 m² - 5007036
"Blumenau, Velha Central
Cód.: CA0726";R$ 265.000,00;"2 quartos
1 vaga
68,0 m²";Casa no Bairro Velha Central em Blumenau com 2 Dormitórios e 68 m² - CA0726
"Blumenau, Velha
Cód.: 025";R$ 270.000,00;"2 quartos
1 vaga
70,4 m²";Apartamento no Bairro Velha em Blumenau com 2 Dormitórios e 70.43 m² - 025
"Blumenau, Progresso
Cód.: CA2109";R$ 430.000,00;"3 quartos
10 vagas
200,0 m²";Casa no Bairro Progresso em Blumenau com 3 Dormitórios e 200 m² - CA2109
"Blumenau, Victor Konder
Cód.: 3193";R$ 255.000,00;"2 quartos
1 vaga";Apartamento no Bairro Victor Konder em Blumenau com 2 Dormitórios - 3193
"Blumenau, Escola Agrícola
Cód.: AP0148";R$ 360.000,00;"2 quartos
1 vaga
58,0 m²";Apartamento no Bairro Escola Agrícola em Blumenau com 2 Dormitórios e 58 m² - AP0148
"Blumenau, Velha
Cód.: AP0118";R$ 239.900,00;"2 quartos
1 vaga
62,0 m²";Apartamento no Bairro Velha em Blumenau com 2 Dormitórios e 62 m² - AP0118
"Blumenau, Água Verde
Cód.: 6462726";R$ 250.000,00;"2 quartos
1 vaga
47,0 m²";Apartamento no Bairro Água Verde em Blumenau com 2 Dormitórios e 47 m² - 6462726
"Blumenau, Velha
Cód.: 3342354";R$ 330.000,00;"2 quartos
1 vaga
56,9 m²";Apartamento no Bairro Velha em Blumenau com 2 Dormitórios e 56.92 m² - 3342354
"Blumenau, Itoupava Central
Cód.: 590121007-309";R$ 695.000,00;"3 quartos
1 suíte
2 vagas
212,0 m²";Casa no Bairro Itoupava Central em Blumenau com 3 Dormitórios (1 suíte) e 212 m² - 590121007-309
"Blumenau, Velha
Cód.: 3290812";R$ 350.000,00;"2 quartos
1 suíte
2 vagas
99,0 m²";Apartamento no Bairro Velha em Blumenau com 2 Dormitórios (1 suíte) e 99 m² - 3290812
"Blumenau, Itoupava Central
Cód.: 590121010-93";R$ 275.000,00;"2 quartos
1 suíte
1 vaga
71,1 m²";Apartamento no Bairro Itoupava Central em Blumenau com 2 Dormitórios (1 suíte) e 71.05 m² - 590121010-93
"Blumenau, Velha Central
Cód.: 2081";R$ 360.000,00;"2 quartos
2 suítes
2 vagas
72,0 m²";Casa no Bairro Velha Central em Blumenau com 2 Dormitórios (2 suítes) e 72 m² - 2081
"Blumenau, Itoupava Central
Cód.: 4334";R$ 750.000,00;"6 quartos
2 vagas
461,0 m²";Casa no Bairro Itoupava Central em Blumenau com 6 Dormitórios e 461 m² - 4334
"Blumenau, Fortaleza
Cód.: 2578";R$ 649.000,00;"3 quartos
4 vagas";Casa no Bairro Fortaleza em Blumenau com 3 Dormitórios - 2578
"Blumenau, Itoupavazinha
Cód.: R157";R$ 498.900,00;"5 quartos
1 suíte
1 vaga
294,0 m²";Casa no Bairro Itoupavazinha em Blumenau com 5 Dormitórios (1 suíte) e 294 m² - R157
"Blumenau, Salto Weissbach
Cód.: 031";R$ 670.000,00;"4 quartos
2 vagas";Casa no Bairro Salto Weissbach em Blumenau com 4 Dormitórios - 031
"Blumenau, Velha
Cód.: 552";R$ 745.000,00;"3 quartos
2 suítes
2 vagas
202,0 m²";Casa no Bairro Velha em Blumenau com 3 Dormitórios (2 suítes) e 202 m² - 552
"Blumenau, Itoupava Seca
Cód.: LF0001";R$ 200.200,00;"1 quarto
1 vaga
56,0 m²";Apartamento no Bairro Itoupava Seca em Blumenau com 1 Dormitórios e 56 m² - LF0001
"Blumenau, Fortaleza
Cód.: AP05707V";R$ 372.000,00;"2 quartos
1 vaga
58,1 m²";Apartamento no Bairro Fortaleza em Blumenau com 2 Dormitórios e 58.05 m² - AP05707V
"Blumenau, Velha
Cód.: CA0442";R$ 1.350.000,00;"2 quartos
2 suítes
3 vagas
205,0 m²";Casa no Bairro Velha em Blumenau com 2 Dormitórios (2 suítes) e 205 m² - CA0442
"Blumenau, Vorstadt
Cód.: V01257";R$ 280.000,00;"3 quartos
1 vaga
530,0 m²";Casa no Bairro Vorstadt em Blumenau com 3 Dormitórios e 530 m² - V01257
"Blumenau, Fortaleza Alta
Cód.: 1250";R$ 450.000,00;"3 quartos
1 suíte
2 vagas
87,0 m²";Casa no Bairro Fortaleza Alta em Blumenau com 3 Dormitórios (1 suíte) e 87 m² - 1250
"Blumenau, Itoupavazinha
Cód.: 3290806";R$ 565.000,00;"3 quartos
1 suíte
2 vagas
125,0 m²";Casa no Bairro Itoupavazinha em Blumenau com 3 Dormitórios (1 suíte) e 125 m² - 3290806
"Blumenau, Escola Agrícola
Cód.: 2181";R$ 290.000,00;"2 quartos
1 vaga
78,0 m²";Apartamento no Bairro Escola Agrícola em Blumenau com 2 Dormitórios e 78 m² - 2181
"Blumenau, Escola Agrícola
Cód.: AP0516";R$ 350.000,00;"2 quartos
1 suíte
2 vagas
72,0 m²";Apartamento no Bairro Escola Agrícola em Blumenau com 2 Dormitórios (1 suíte) e 72 m² - AP0516
"Blumenau, Salto Weissbach
Cód.: CA0008_2-3144398";R$ 799.000,00;"3 quartos
1 suíte
3 vagas
141,0 m²";Casa no Bairro Salto Weissbach em Blumenau com 3 Dormitórios (1 suíte) e 141 m² - CA0008_2-3144398
"Blumenau, Itoupava Central
Cód.: 3349";R$ 220.000,00;"2 quartos
1 vaga
50,0 m²";Apartamento no Bairro Itoupava Central em Blumenau com 2 Dormitórios e 50 m² - 3349
"Blumenau, Água Verde
Cód.: 661";R$ 340.000,00;"2 quartos
1 vaga
68,0 m²";Apartamento no Bairro Água Verde em Blumenau com 2 Dormitórios e 68 m² - 661
"Blumenau, Garcia
Cód.: 3300992";R$ 320.000,00;"3 quartos
1 vaga";Casa no Bairro Garcia em Blumenau com 3 Dormitórios - 3300992
"Blumenau, Salto
Cód.: 2091";R$ 340.000,00;"2 quartos
2 vagas
65,0 m²";Casa no Bairro Salto em Blumenau com 2 Dormitórios e 65 m² - 2091
"Blumenau, Ponta Aguda
Cód.: 276";R$ 3.200.000,00;"3 quartos
1 suíte
2 vagas";Casa no Bairro Ponta Aguda em Blumenau com 3 Dormitórios (1 suíte) - 276
"Blumenau, Escola Agrícola
Cód.: AP0063";R$ 360.000,00;"2 quartos
1 suíte
1 vaga
62,0 m²";Apartamento no Bairro Escola Agrícola em Blumenau com 2 Dormitórios (1 suíte) e 62 m² - AP0063
"Blumenau, Velha
Cód.: 1924";R$ 744.000,00;"3 quartos
3 suítes
2 vagas
110,0 m²";Apartamento no Bairro Velha em Blumenau com 3 Dormitórios (3 suítes) e 110 m² - 1924
"Blumenau, Velha
Cód.: 293";R$ 1.170.000,00;"2 quartos
2 suítes
3 vagas
134,0 m²";Apartamento no Bairro Velha em Blumenau com 2 Dormitórios (2 suítes) e 134 m² - 293
"Blumenau, Ribeirão Fresco
Cód.: 6581976";R$ 300.000,00;"2 quartos
1 vaga
65,0 m²";Apartamento no Bairro Ribeirão Fresco em Blumenau com 2 Dormitórios e 65 m² - 6581976
"Blumenau, Centro
Cód.: AP0595";R$ 420.000,00;"2 quartos
1 suíte
1 vaga
67,0 m²";Apartamento no Bairro Centro em Blumenau com 2 Dormitórios (1 suíte) e 67 m² - AP0595
"Blumenau, Itoupava Seca
Cód.: 35715349";R$ 198.000,00;"1 quarto
23,6 m²";Apartamento no Bairro Itoupava Seca em Blumenau com 1 Dormitórios e 23.6 m² - 35715349
"Blumenau, Fortaleza
Cód.: AP0609";R$ 350.000,00;"2 quartos
1 suíte
1 vaga
64,0 m²";Apartamento no Bairro Fortaleza em Blumenau com 2 Dormitórios (1 suíte) e 64 m² - AP0609
"Blumenau, Testo Salto
Cód.: 68";R$ 495.000,00;"5 quartos
150,0 m²";Casa no Bairro Testo Salto em Blumenau com 5 Dormitórios e 150 m² - 68
"Blumenau, Velha
Cód.: 2051";R$ 230.000,00;"2 quartos
1 vaga
55,0 m²";Apartamento no Bairro Velha em Blumenau com 2 Dormitórios e 55 m² - 2051
"Blumenau, Garcia
Cód.: V01206";R$ 800.000,00;"4 quartos
1 suíte
254,0 m²";Casa no Bairro Garcia em Blumenau com 4 Dormitórios (1 suíte) e 254 m² - V01206
"Blumenau, Itoupava Central
Cód.: CA2172";R$ 349.000,00;"2 quartos
2 vagas
70,0 m²";Casa no Bairro Itoupava Central em Blumenau com 2 Dormitórios e 70 m² - CA2172
"Blumenau, Victor Konder
Cód.: 64";R$ 290.000,00;"1 quarto
38,0 m²";Apartamento no Bairro Victor Konder em Blumenau com 1 Dormitórios e 38 m² - 64
