Bairros;Valores;Informações;Descricao
"Blumenau, Água Verde
Cód.: 2067";R$ 1.100.000,00;"3 quartos
1 suíte
3 vagas
184,0 m²";Casa no Bairro Água Verde em Blumenau com 3 Dormitórios (1 suíte) e 184 m² - 2067
"Blumenau, Vorstadt
Cód.: 1742";R$ 580.000,00;"3 quartos
1 suíte
6 vagas
109,0 m²";Casa no Bairro Vorstadt em Blumenau com 3 Dormitórios (1 suíte) e 109 m² - 1742
"Blumenau, Jardim Blumenau
Cód.: AP5718";R$ 1.100.000,00;"3 quartos
3 suítes
3 vagas
118,0 m²";Apartamento no Bairro Jardim Blumenau em Blumenau com 3 Dormitórios (3 suítes) e 118 m² - AP5718
"Blumenau, Itoupava Seca
Cód.: 2135";R$ 340.000,00;"2 quartos
1 vaga
50,0 m²";Apartamento no Bairro Itoupava Seca em Blumenau com 2 Dormitórios e 50 m² - 2135
"Blumenau, Velha Central
Cód.: -30529";R$ 340.000,00;"2 quartos
1 suíte
1 vaga
65,2 m²";Apartamento no Bairro Velha Central em Blumenau com 2 Dormitórios (1 suíte) e 65.2 m² - -30529
"Blumenau, Fortaleza
Cód.: 407";R$ 319.000,00;"2 quartos
2 suítes
1 vaga
83,0 m²";Casa no Bairro Fortaleza em Blumenau com 2 Dormitórios (2 suítes) e 83 m² - 407
"Blumenau, Escola Agrícola
Cód.: AP0533";R$ 340.000,00;"2 quartos
1 suíte
1 vaga
63,0 m²";Apartamento no Bairro Escola Agrícola em Blumenau com 2 Dormitórios (1 suíte) e 63 m² - AP0533
"Blumenau, Salto Norte
Cód.: 1657";R$ 599.000,00;"3 quartos
1 suíte
2 vagas
169,0 m²";Casa no Bairro Salto Norte em Blumenau com 3 Dormitórios (1 suíte) e 169 m² - 1657
"Blumenau, Itoupava Seca
Cód.: SB-300";R$ 398.000,00;"1 quarto
1 vaga
50,0 m²";Apartamento no Bairro Itoupava Seca em Blumenau com 1 Dormitórios e 50 m² - SB-300
"Blumenau, Água Verde
Cód.: 4607";R$ 379.000,00;"2 quartos
1 suíte
1 vaga
69,8 m²";Apartamento no Bairro Água Verde em Blumenau com 2 Dormitórios (1 suíte) e 69.75 m² - 4607
"Blumenau, Victor Konder
Cód.: 2156";R$ 550.000,00;"3 quartos
1 suíte
1 vaga
166,0 m²";Apartamento no Bairro Victor Konder em Blumenau com 3 Dormitórios (1 suíte) e 166 m² - 2156
"Blumenau, Fortaleza Alta
Cód.: 2046";R$ 399.000,00;"3 quartos
1 suíte
2 vagas
120,0 m²";Casa no Bairro Fortaleza Alta em Blumenau com 3 Dormitórios (1 suíte) e 120 m² - 2046
"Blumenau, Escola Agrícola
Cód.: CA0091";R$ 950.000,00;"3 quartos
1 suíte
2 vagas
160,0 m²";Casa no Bairro Escola Agrícola em Blumenau com 3 Dormitórios (1 suíte) e 160 m² - CA0091
"Blumenau, Boa Vista
Cód.: CA0001_2-3139800";R$ 325.000,00;"2 quartos
1 vaga
65,0 m²";Casa no Bairro Boa Vista em Blumenau com 2 Dormitórios e 65 m² - CA0001_2-3139800
"Blumenau, Água Verde
Cód.: CA1263";R$ 490.000,00;"2 quartos
2 suítes
1 vaga
80,0 m²";Casa no Bairro Água Verde em Blumenau com 2 Dormitórios (2 suítes) e 80 m² - CA1263
"Blumenau, Água Verde
Cód.: 7853";R$ 310.000,00;"3 quartos
1 suíte
2 vagas
78,3 m²";Apartamento no Bairro Água Verde em Blumenau com 3 Dormitórios (1 suíte) e 78.34 m² - 7853
"Blumenau, Fortaleza Alta
Cód.: 8154";R$ 360.000,00;"2 quartos
1 vaga
72,3 m²";Casa no Bairro Fortaleza Alta em Blumenau com 2 Dormitórios e 72.28 m² - 8154
"Blumenau, Itoupava Norte
Cód.: CAS148";R$ 750.000,00;"3 quartos
2 vagas";Casa no Bairro Itoupava Norte em Blumenau com 3 Dormitórios - CAS148
"Blumenau, Ponta Aguda
Cód.: CA0009_2-3147889";R$ 450.000,00;"3 quartos
1 vaga
120,0 m²";Casa no Bairro Ponta Aguda em Blumenau com 3 Dormitórios e 120 m² - CA0009_2-3147889
