Bairros,Valores,Quartos,Suítes,Vagas,Tamanho,Tipo
Vila Nova,1190000.0,2.0,2.0,2.0,216.0,Apartamento
Garcia,1190000.0,4.0,2.0,4.0,327.0,Casa
Badenfurt,1190000.0,3.0,1.0,2.0,210.0,Casa
Vila Nova,1198000.0,3.0,3.0,2.0,125.0,Apartamento
Vila Nova,1198000.0,3.0,3.0,2.0,125.0,Apartamento
Salto Norte,1199000.0,3.0,1.0,0.0,187.0,Casa
Garcia,1200000.0,3.0,1.0,3.0,262.0,Casa
Itoupava Norte,1200000.0,4.0,1.0,2.0,352.0,Casa
Velha,1200000.0,3.0,1.0,2.0,260.0,Casa
Jardim Blumenau,1200000.0,3.0,3.0,3.0,118.0,Apartamento
Jardim Blumenau,1200000.0,3.0,3.0,2.0,122.0,Apartamento
Jardim Blumenau,1200000.0,3.0,3.0,3.0,125.0,Apartamento
Ponta Aguda,1200000.0,3.0,2.0,0.0,234.0,Apartamento
Água Verde,1200000.0,3.0,1.0,6.0,550.0,Casa
Jardim Blumenau,1200000.0,3.0,3.0,3.0,118.0,Apartamento
Jardim Blumenau,1200000.0,3.0,1.0,2.0,172.0,Apartamento
Jardim Blumenau,1200000.0,3.0,3.0,3.0,223.0,Apartamento
Jardim Blumenau,1200000.0,3.0,3.0,3.0,223.0,Apartamento
Ponta Aguda,1200000.0,3.0,3.0,4.0,202.0,Casa
Ponta Aguda,1200000.0,3.0,3.0,3.0,204.0,Casa
Ponta Aguda,1200000.0,5.0,1.0,6.0,340.9,Casa
Itoupava Norte,1200000.0,7.0,1.0,4.0,343.0,Casa
Ponta Aguda,1200000.0,4.0,4.0,2.0,234.0,Apartamento
Itoupava Norte,1200000.0,4.0,1.0,3.0,290.0,Casa
Velha,1200000.0,4.0,1.0,6.0,365.0,Casa
Ponta Aguda,1200000.0,5.0,1.0,5.0,340.0,Casa
Velha Central,1200000.0,4.0,1.0,3.0,311.0,Casa
Velha,1200000.0,3.0,1.0,3.0,235.0,Casa
Velha,1200000.0,3.0,1.0,2.0,230.0,Casa
Garcia,1200000.0,5.0,3.0,4.0,480.0,Casa
Passo Manso,1200000.0,3.0,1.0,6.0,250.0,Casa
Passo Manso,1200000.0,3.0,1.0,2.0,250.0,Casa
Velha,1200000.0,3.0,1.0,7.0,300.0,Casa
Velha,1200000.0,3.0,1.0,4.0,300.0,Casa
Velha,1200000.0,3.0,1.0,4.0,300.0,Casa
Ponta Aguda,1220000.0,3.0,3.0,3.0,184.0,Apartamento
Ponta Aguda,1230000.0,3.0,3.0,3.0,253.0,Apartamento
Velha,1249000.0,5.0,1.0,2.0,249.7,Casa
Água Verde,1249000.0,4.0,2.0,2.0,250.0,Casa
Velha,1250000.0,3.0,3.0,3.0,168.0,Apartamento
Velha,1250000.0,3.0,3.0,2.0,136.0,Apartamento
Centro,1250000.0,3.0,3.0,2.0,157.0,Apartamento
Tribess,1250000.0,3.0,1.0,4.0,251.6,Casa
Velha,1250000.0,3.0,3.0,3.0,165.0,Apartamento
Jardim Blumenau,1250000.0,2.0,2.0,2.0,220.0,Apartamento
Velha,1250000.0,3.0,1.0,2.0,240.0,Casa
Velha,1250000.0,2.0,1.0,2.0,135.0,Casa
Vorstadt,1280000.0,3.0,3.0,5.0,333.0,Casa
Progresso,1280000.0,3.0,0.0,0.0,130.0,Casa
Itoupava Seca,1290000.0,3.0,1.0,2.0,235.0,Casa
Ponta Aguda,1290000.0,3.0,3.0,2.0,166.0,Casa
Vila Nova,1290000.0,4.0,1.0,2.0,210.0,Casa
Victor Konder,1290000.0,3.0,3.0,3.0,135.0,Apartamento
Victor Konder,1290000.0,3.0,3.0,3.0,135.0,Apartamento
Velha,1294211.0,3.0,1.0,3.0,142.7,Apartamento
Jardim Blumenau,1300000.0,3.0,3.0,3.0,112.0,Apartamento
Jardim Blumenau,1300000.0,3.0,1.0,2.0,450.0,Apartamento
Ponta Aguda,1300000.0,11.0,7.0,1.0,276.0,Casa
Velha,1300000.0,4.0,1.0,5.0,279.0,Casa
Bom Retiro,1300000.0,3.0,3.0,3.0,132.0,Apartamento
Vila Nova,1300000.0,3.0,3.0,3.0,138.0,Apartamento
Vila Nova,1300000.0,3.0,3.0,3.0,141.0,Apartamento
Vila Nova,1300000.0,4.0,2.0,2.0,153.0,Apartamento
Tribess,1300000.0,3.0,3.0,3.0,230.0,Casa
Garcia,1300000.0,6.0,0.0,1.0,613.3,Casa
Victor Konder,1300000.0,3.0,3.0,2.0,140.0,Apartamento
Jardim Blumenau,1300000.0,2.0,2.0,2.0,323.0,Apartamento
Jardim Blumenau,1300000.0,3.0,1.0,2.0,246.0,Apartamento
Itoupava Norte,1300000.0,5.0,1.0,6.0,435.0,Casa
Vila Nova,1300000.0,3.0,3.0,3.0,138.0,Apartamento
Ponta Aguda,1300000.0,4.0,4.0,2.0,392.0,Apartamento
Ponta Aguda,1300000.0,3.0,3.0,2.0,174.0,Casa
Velha,1300000.0,7.0,6.0,2.0,504.0,Casa
Garcia,1300000.0,4.0,1.0,2.0,200.0,Casa
Itoupava Norte,1300000.0,6.0,0.0,4.0,188.0,Casa
Ponta Aguda,1325000.0,3.0,1.0,4.0,370.0,Casa
Bom Retiro,1325000.0,3.0,3.0,3.0,170.0,Apartamento
Bom Retiro,1325000.0,3.0,3.0,3.0,170.0,Apartamento
Vila Nova,1336884.0,3.0,3.0,2.0,149.0,Apartamento
Vila Nova,1336884.0,3.0,3.0,1.0,149.0,Apartamento
Vila Nova,1336884.0,3.0,3.0,2.0,149.0,Apartamento
Jardim Blumenau,1346000.0,3.0,3.0,2.0,154.0,Apartamento
Jardim Blumenau,1349000.0,3.0,2.0,2.0,199.0,Apartamento
Água Verde,1350000.0,4.0,0.0,2.0,235.0,Casa
Victor Konder,1350000.0,3.0,3.0,3.0,133.0,Apartamento
Tribess,1350000.0,3.0,1.0,4.0,166.0,Casa
Ponta Aguda,1350000.0,4.0,3.0,2.0,204.0,Apartamento
Vila Nova,1350000.0,4.0,4.0,3.0,180.0,Apartamento
Jardim Blumenau,1350000.0,3.0,2.0,2.0,199.0,Apartamento
Fortaleza,1350000.0,3.0,1.0,4.0,317.0,Casa
Velha,1350000.0,3.0,1.0,2.0,398.0,Casa
Salto Weissbach,1360000.0,2.0,2.0,4.0,240.4,Casa
Victor Konder,1365000.0,3.0,3.0,2.0,137.0,Apartamento
Velha,1367640.0,3.0,1.0,3.0,157.0,Apartamento
Vila Nova,1370000.0,2.0,2.0,3.0,151.0,Apartamento
Jardim Blumenau,1370000.0,3.0,3.0,2.0,148.0,Apartamento
Jardim Blumenau,1370000.0,3.0,3.0,2.0,148.0,Apartamento
Jardim Blumenau,1370000.0,3.0,3.0,2.0,148.0,Apartamento
Vila Nova,1370000.0,2.0,2.0,3.0,151.0,Apartamento
Vila Nova,1370000.0,2.0,2.0,3.0,151.0,Apartamento
Velha,1370000.0,3.0,1.0,5.0,366.0,Casa
Itoupava Seca,1377000.0,3.0,1.0,4.0,304.0,Casa
Velha,1380000.0,3.0,3.0,3.0,137.0,Apartamento
Victor Konder,1380000.0,3.0,3.0,2.0,117.0,Apartamento
Velha,1380000.0,3.0,3.0,2.0,133.0,Apartamento
Jardim Blumenau,1380000.0,3.0,3.0,2.0,154.0,Apartamento
Jardim Blumenau,1380000.0,3.0,3.0,2.0,137.0,Apartamento
Velha,1380000.0,3.0,3.0,3.0,137.0,Apartamento
Velha,1380000.0,3.0,3.0,3.0,137.0,Apartamento
Jardim Blumenau,1380000.0,3.0,3.0,2.0,138.0,Apartamento
Victor Konder,1380000.0,3.0,3.0,2.0,137.0,Apartamento
Ponta Aguda,1380000.0,3.0,3.0,2.0,204.0,Casa
Velha Central,1380000.0,3.0,3.0,3.0,298.0,Casa
Victor Konder,1390000.0,2.0,2.0,2.0,142.0,Apartamento
Bom Retiro,1390176.0,3.0,3.0,3.0,170.0,Apartamento
Velha,1400000.0,3.0,3.0,2.0,176.0,Apartamento
Escola Agrícola,1400000.0,4.0,1.0,6.0,308.0,Casa
Jardim Blumenau,1400000.0,3.0,3.0,2.0,153.0,Apartamento
Centro,1400000.0,3.0,3.0,2.0,154.0,Apartamento
Victor Konder,1400000.0,3.0,3.0,2.0,133.0,Apartamento
Escola Agrícola,1400000.0,4.0,1.0,4.0,307.0,Casa
Itoupava Norte,1400000.0,3.0,2.0,4.0,245.0,Casa
Vorstadt,1400000.0,3.0,1.0,4.0,327.0,Casa
Ponta Aguda,1400000.0,5.0,3.0,0.0,350.0,Casa
Ponta Aguda,1400000.0,5.0,3.0,4.0,420.0,Casa
Escola Agrícola,1400000.0,3.0,1.0,5.0,340.0,Casa
Victor Konder,1420000.0,3.0,3.0,2.0,174.0,Apartamento
Itoupava Central,1420000.0,4.0,1.0,2.0,240.0,Casa
Vila Nova,1424025.0,3.0,3.0,2.0,149.0,Apartamento
Bom Retiro,1425000.0,3.0,3.0,3.0,170.0,Apartamento
Victor Konder,1430000.0,3.0,3.0,2.0,137.0,Apartamento
Victor Konder,1430000.0,3.0,3.0,2.0,133.0,Apartamento
Vila Nova,1430000.0,4.0,4.0,3.0,180.0,Apartamento
Bom Retiro,1437230.0,3.0,3.0,3.0,170.0,Apartamento
Bom Retiro,1437230.0,3.0,3.0,3.0,170.0,Apartamento
Bom Retiro,1438000.0,3.0,3.0,3.0,170.0,Apartamento
Ponta Aguda,1450000.0,4.0,0.0,2.0,204.0,Apartamento
Ponta Aguda,1450000.0,3.0,1.0,2.0,276.8,Apartamento
Vila Itoupava,1450000.0,3.0,0.0,2.0,481.0,Casa
Vila Nova,1450000.0,3.0,3.0,2.0,138.0,Apartamento
Água Verde,1450000.0,3.0,3.0,4.0,153.0,Apartamento
Vila Nova,1450000.0,3.0,3.0,2.0,149.0,Apartamento
Centro,1450000.0,3.0,3.0,2.0,159.0,Apartamento
Victor Konder,1450000.0,3.0,3.0,2.0,142.0,Apartamento
Ponta Aguda,1450000.0,3.0,1.0,2.0,276.8,Apartamento
Vila Nova,1450000.0,6.0,2.0,2.0,450.0,Casa
Salto Norte,1450000.0,3.0,1.0,2.0,354.0,Casa
Bom Retiro,1454741.0,3.0,3.0,3.0,170.0,Apartamento
Vila Nova,1455203.0,3.0,3.0,2.0,149.0,Apartamento
Centro,1460000.0,3.0,3.0,2.0,159.0,Apartamento
Itoupava Central,1480000.0,3.0,2.0,2.0,312.8,Casa
Velha,1484000.0,3.0,1.0,2.0,750.0,Casa
Velha,1484000.0,3.0,1.0,2.0,288.0,Casa
Velha,1486000.0,3.0,1.0,2.0,288.0,Casa
Vila Nova,1490000.0,3.0,3.0,3.0,203.0,Apartamento
Itoupava Norte,1490000.0,3.0,3.0,4.0,348.0,Casa
Progresso,1490000.0,7.0,1.0,0.0,350.0,Casa
Victor Konder,1490000.0,3.0,3.0,3.0,140.0,Apartamento
Victor Konder,1490000.0,3.0,3.0,3.0,133.0,Apartamento
Victor Konder,1490000.0,3.0,3.0,3.0,140.0,Apartamento
Victor Konder,1490000.0,3.0,3.0,3.0,133.0,Apartamento
Bom Retiro,1495000.0,5.0,1.0,3.0,300.0,Casa
Fortaleza Alta,1499000.0,3.0,1.0,4.0,283.0,Casa
Fortaleza Alta,1499000.0,3.0,1.0,3.0,283.0,Casa
Fortaleza Alta,1499000.0,3.0,1.0,4.0,283.0,Casa
Ponta Aguda,1499000.0,4.0,2.0,2.0,278.0,Apartamento
Valparaiso,1499000.0,3.0,1.0,3.0,650.0,Casa
Ribeirão Fresco,1499000.0,2.0,2.0,13.0,390.0,Casa
Velha,1499999.0,4.0,3.0,4.0,300.0,Casa
Jardim Blumenau,1500000.0,4.0,1.0,2.0,240.0,Apartamento
Jardim Blumenau,1500000.0,4.0,4.0,2.0,274.0,Apartamento
Vila Nova,1500000.0,3.0,1.0,2.0,176.0,Apartamento
Vila Nova,1500000.0,4.0,4.0,2.0,424.0,Casa
Vila Nova,1500000.0,5.0,3.0,6.0,357.0,Casa
Vila Nova,1500000.0,5.0,5.0,2.0,387.0,Casa
Velha,1500000.0,4.0,1.0,5.0,279.0,Casa
Velha,1500000.0,4.0,1.0,3.0,410.0,Casa
Vila Nova,1500000.0,3.0,3.0,3.0,184.0,Apartamento
Victor Konder,1500000.0,3.0,3.0,2.0,118.0,Apartamento
Jardim Blumenau,1500000.0,3.0,3.0,3.0,153.0,Apartamento
Victor Konder,1500000.0,3.0,3.0,2.0,137.0,Apartamento
Vila Nova,1500000.0,3.0,3.0,2.0,176.0,Apartamento
Vila Nova,1500000.0,3.0,3.0,2.0,176.0,Apartamento
Vorstadt,1500000.0,3.0,3.0,2.0,188.0,Apartamento
Victor Konder,1500000.0,3.0,3.0,2.0,175.0,Apartamento
Vila Nova,1500000.0,3.0,1.0,4.0,275.0,Casa
Valparaiso,1500000.0,3.0,1.0,3.0,650.0,Casa
Garcia,1500000.0,4.0,2.0,4.0,293.0,Casa
Victor Konder,1500000.0,3.0,3.0,2.0,133.0,Apartamento
Ponta Aguda,1500000.0,3.0,1.0,2.0,204.0,Apartamento
Velha,1500000.0,3.0,1.0,3.0,410.0,Casa
Vila Nova,1500000.0,5.0,5.0,2.0,387.0,Casa
Velha,1500000.0,4.0,1.0,2.0,398.0,Casa
Garcia,1500000.0,4.0,2.0,3.0,292.0,Casa
Ponta Aguda,1500000.0,7.0,3.0,4.0,422.0,Casa
Jardim Blumenau,1500000.0,3.0,3.0,2.0,436.0,Apartamento
Itoupava Seca,1500000.0,5.0,3.0,5.0,299.0,Casa
Itoupava Norte,1500000.0,4.0,4.0,4.0,476.0,Casa
Itoupava Norte,1500000.0,4.0,4.0,4.0,475.0,Casa
Velha,1500000.0,4.0,1.0,5.0,279.0,Casa
Vila Nova,1500000.0,5.0,5.0,2.0,476.0,Casa
Vila Nova,1500000.0,4.0,4.0,2.0,424.0,Casa
Garcia,1500000.0,6.0,2.0,2.0,300.0,Casa
Jardim Blumenau,1550000.0,3.0,3.0,4.0,118.0,Apartamento
Bom Retiro,1550000.0,3.0,3.0,3.0,189.0,Apartamento
Bom Retiro,1550000.0,3.0,3.0,3.0,189.0,Apartamento
Bom Retiro,1550000.0,3.0,3.0,3.0,189.0,Apartamento
Vorstadt,1550000.0,3.0,1.0,2.0,240.0,Casa
Vorstadt,1550000.0,3.0,1.0,2.0,270.0,Casa
Itoupava Norte,1550000.0,3.0,3.0,4.0,275.3,Casa
Velha,1550000.0,4.0,2.0,4.0,240.0,Casa
Bom Retiro,1555000.0,3.0,3.0,3.0,170.0,Apartamento
Victor Konder,1580000.0,3.0,3.0,2.0,117.9,Apartamento
Victor Konder,1580000.0,3.0,3.0,2.0,137.0,Apartamento
Victor Konder,1580000.0,3.0,3.0,2.0,133.0,Apartamento
Badenfurt,1580000.0,3.0,1.0,10.0,520.0,Casa
Jardim Blumenau,1590000.0,3.0,3.0,3.0,165.0,Apartamento
Badenfurt,1590000.0,3.0,1.0,4.0,480.0,Casa
Badenfurt,1590000.0,3.0,1.0,4.0,480.0,Casa
Garcia,1590000.0,3.0,1.0,4.0,186.0,Casa
Centro,1590000.0,3.0,3.0,2.0,160.0,Apartamento
Badenfurt,1590000.0,3.0,1.0,8.0,520.0,Casa
Badenfurt,1590000.0,3.0,1.0,8.0,520.0,Casa
Vila Nova,1593250.0,3.0,3.0,3.0,222.0,Apartamento
Jardim Blumenau,1596000.0,3.0,3.0,3.0,154.0,Apartamento
Vila Nova,1599625.0,3.0,3.0,2.0,145.3,Apartamento
Velha Central,1600000.0,5.0,1.0,3.0,337.0,Casa
Itoupava Norte,1600000.0,3.0,1.0,4.0,267.0,Casa
Vila Nova,1600000.0,3.0,3.0,2.0,176.0,Apartamento
Bom Retiro,1600000.0,3.0,3.0,3.0,170.0,Apartamento
Jardim Blumenau,1600000.0,3.0,3.0,3.0,145.0,Apartamento
Vorstadt,1600000.0,3.0,3.0,2.0,188.0,Apartamento
Bom Retiro,1600000.0,3.0,3.0,3.0,170.0,Apartamento
Ponta Aguda,1600000.0,4.0,3.0,2.0,204.0,Apartamento
Jardim Blumenau,1600000.0,3.0,3.0,3.0,280.0,Apartamento
Jardim Blumenau,1600000.0,3.0,1.0,2.0,235.0,Apartamento
Água Verde,1600000.0,3.0,1.0,2.0,279.0,Casa
Itoupava Norte,1600000.0,3.0,3.0,6.0,349.0,Casa
Fortaleza,1600000.0,3.0,1.0,2.0,243.0,Casa
Ponta Aguda,1600000.0,4.0,0.0,2.0,204.0,Apartamento
Ponta Aguda,1600000.0,4.0,2.0,2.0,204.0,Apartamento
Bom Retiro,1619114.0,3.0,3.0,3.0,170.0,Apartamento
Bom Retiro,1625000.0,3.0,3.0,3.0,189.0,Apartamento
Centro,1646534.0,4.0,4.0,3.0,217.0,Apartamento
Jardim Blumenau,1650000.0,3.0,3.0,2.0,200.1,Apartamento
Itoupava Central,1650000.0,3.0,3.0,4.0,190.0,Casa
Ponta Aguda,1650000.0,3.0,3.0,4.0,257.0,Apartamento
Badenfurt,1650000.0,6.0,2.0,3.0,446.0,Casa
Garcia,1650000.0,4.0,2.0,1.0,190.0,Casa
Garcia,1650000.0,4.0,1.0,4.0,362.0,Casa
Bom Retiro,1673448.0,3.0,3.0,3.0,170.0,Apartamento
Itoupava Central,1680000.0,3.0,3.0,2.0,300.0,Casa
Itoupava Central,1690000.0,3.0,3.0,4.0,240.0,Casa
Itoupava Central,1690000.0,3.0,1.0,2.0,240.0,Casa
Velha,1699000.0,3.0,3.0,2.0,221.0,Apartamento
Velha,1699000.0,4.0,4.0,3.0,216.0,Apartamento
Velha,1699000.0,4.0,4.0,2.0,221.3,Apartamento
Itoupava Central,1699000.0,3.0,1.0,2.0,214.0,Casa
Jardim Blumenau,1700000.0,3.0,3.0,3.0,163.0,Apartamento
Jardim Blumenau,1700000.0,3.0,3.0,3.0,163.0,Apartamento
Centro,1700000.0,3.0,0.0,3.0,165.0,Apartamento
Vila Nova,1700000.0,3.0,3.0,3.0,165.0,Apartamento
Vila Nova,1700000.0,3.0,3.0,2.0,139.0,Apartamento
Itoupava Central,1700000.0,3.0,1.0,2.0,222.0,Casa
Ponta Aguda,1700000.0,3.0,3.0,2.0,280.0,Apartamento
Ponta Aguda,1700000.0,3.0,2.0,2.0,247.0,Apartamento
Itoupava Central,1700000.0,3.0,3.0,2.0,350.0,Casa
Velha,1700000.0,4.0,1.0,4.0,290.0,Casa
Escola Agrícola,1700000.0,4.0,2.0,5.0,353.0,Casa
Garcia,1700000.0,2.0,2.0,4.0,412.0,Casa
Victor Konder,1719994.0,4.0,4.0,3.0,172.0,Apartamento
Jardim Blumenau,1750000.0,3.0,3.0,2.0,278.0,Apartamento
Jardim Blumenau,1750000.0,3.0,3.0,3.0,200.0,Apartamento
Jardim Blumenau,1750000.0,3.0,2.0,2.0,245.0,Apartamento
Velha,1750000.0,3.0,2.0,2.0,181.0,Apartamento
Água Verde,1750000.0,4.0,1.0,4.0,249.0,Casa
Vila Nova,1750000.0,3.0,3.0,2.0,138.0,Apartamento
Vila Nova,1750000.0,3.0,3.0,2.0,138.0,Apartamento
Fortaleza,1750000.0,3.0,2.0,2.0,156.7,Apartamento
Jardim Blumenau,1750000.0,3.0,3.0,2.0,199.0,Apartamento
Jardim Blumenau,1750000.0,3.0,2.0,2.0,245.0,Apartamento
Jardim Blumenau,1750000.0,3.0,2.0,2.0,244.0,Apartamento
Jardim Blumenau,1750000.0,3.0,2.0,3.0,245.0,Apartamento
Jardim Blumenau,1750000.0,3.0,2.0,2.0,244.9,Apartamento
Água Verde,1750000.0,4.0,4.0,6.0,529.0,Casa
Itoupava Central,1780000.0,4.0,3.0,4.0,280.0,Casa
Jardim Blumenau,1790000.0,3.0,1.0,2.0,214.0,Apartamento
Badenfurt,1790000.0,3.0,1.0,8.0,520.0,Casa
Velha,1790000.0,4.0,2.0,4.0,289.0,Casa
Salto Weissbach,1790000.0,4.0,4.0,4.0,529.0,Casa
Itoupava Central,1795000.0,3.0,2.0,8.0,280.0,Casa
Escola Agrícola,1799000.0,4.0,1.0,3.0,378.2,Casa
Jardim Blumenau,1800000.0,3.0,2.0,2.0,246.0,Apartamento
Garcia,1800000.0,4.0,1.0,2.0,189.0,Casa
Centro,1800000.0,4.0,1.0,2.0,313.0,Casa
Centro,1800000.0,4.0,1.0,2.0,313.0,Casa
Centro,1800000.0,4.0,1.0,2.0,360.0,Casa
Itoupava Seca,1800000.0,5.0,4.0,5.0,522.0,Casa
Ponta Aguda,1800000.0,3.0,1.0,4.0,367.0,Apartamento
Centro,1800000.0,5.0,4.0,4.0,376.0,Casa
Itoupava Seca,1800000.0,4.0,3.0,5.0,117.0,Casa
Velha,1839000.0,4.0,4.0,3.0,221.8,Apartamento
Victor Konder,1847015.0,4.0,4.0,3.0,172.0,Apartamento
Centro,1850000.0,3.0,1.0,3.0,251.0,Apartamento
Salto,1850000.0,4.0,2.0,3.0,422.0,Casa
Escola Agrícola,1850000.0,2.0,2.0,4.0,182.0,Casa
Itoupava Central,1850000.0,3.0,1.0,2.0,221.0,Casa
Jardim Blumenau,1850000.0,2.0,2.0,2.0,244.0,Apartamento
Itoupava Central,1850000.0,3.0,1.0,4.0,221.0,Casa
Velha,1850000.0,4.0,1.0,2.0,247.0,Casa
Velha,1850000.0,3.0,1.0,2.0,260.0,Casa
Velha,1850000.0,3.0,1.0,2.0,260.0,Casa
Victor Konder,1890000.0,2.0,2.0,4.0,150.0,Apartamento
Victor Konder,1890000.0,2.0,2.0,4.0,150.0,Apartamento
Escola Agrícola,1890000.0,3.0,3.0,2.0,225.0,Casa
Velha,1890000.0,3.0,3.0,4.0,294.0,Casa
Escola Agrícola,1890000.0,3.0,3.0,2.0,225.0,Casa
Itoupava Norte,1890000.0,3.0,1.0,2.0,200.0,Casa
Velha,1890000.0,3.0,1.0,2.0,294.0,Casa
Escola Agrícola,1899000.0,3.0,1.0,4.0,297.0,Casa
Centro,1900000.0,3.0,2.0,2.0,272.0,Apartamento
Água Verde,1900000.0,3.0,1.0,2.0,196.0,Casa
Ponta Aguda,1900000.0,3.0,3.0,2.0,139.0,Apartamento
Ponta Aguda,1900000.0,3.0,2.0,3.0,183.1,Apartamento
Velha,1900000.0,3.0,3.0,4.0,371.3,Casa
Itoupava Norte,1900000.0,4.0,1.0,4.0,390.0,Casa
Victor Konder,1929726.0,4.0,4.0,3.0,172.0,Apartamento
Bom Retiro,1930000.0,3.0,3.0,3.0,200.0,Apartamento
Centro,1949808.0,3.0,3.0,3.0,213.0,Apartamento
Vorstadt,1950000.0,3.0,1.0,4.0,261.0,Casa
Garcia,1950000.0,4.0,2.0,2.0,220.0,Casa
Jardim Blumenau,1950000.0,3.0,3.0,4.0,200.0,Apartamento
Velha,1950000.0,4.0,2.0,4.0,600.0,Casa
Bom Retiro,1968300.0,3.0,3.0,3.0,199.0,Apartamento
Bom Retiro,1968400.0,3.0,3.0,3.0,200.0,Apartamento
Escola Agrícola,1980000.0,3.0,1.0,4.0,330.0,Casa
Centro,1980000.0,4.0,2.0,4.0,370.0,Casa
Velha,1980000.0,4.0,1.0,4.0,298.0,Casa
Victor Konder,1980000.0,4.0,3.0,2.0,194.0,Apartamento
Itoupava Norte,1980000.0,4.0,3.0,5.0,221.0,Casa
Garcia,1980000.0,4.0,2.0,4.0,400.0,Casa
Itoupava Norte,1980000.0,4.0,1.0,6.0,300.0,Casa
Centro,1980000.0,4.0,2.0,4.0,370.0,Casa
Escola Agrícola,1980000.0,3.0,1.0,4.0,185.0,Casa
Itoupava Norte,1980000.0,4.0,3.0,4.0,291.0,Casa
Itoupava Seca,1988320.0,3.0,3.0,3.0,222.0,Apartamento
Escola Agrícola,1990000.0,5.0,3.0,4.0,414.0,Casa
Itoupava Seca,1990000.0,4.0,2.0,2.0,347.2,Casa
Escola Agrícola,1990000.0,5.0,3.0,4.0,141.0,Casa
Ponta Aguda,2000000.0,4.0,4.0,5.0,457.0,Casa
Jardim Blumenau,2000000.0,3.0,3.0,2.0,170.0,Apartamento
Centro,2000000.0,3.0,3.0,2.0,252.0,Apartamento
Testo Salto,2000000.0,5.0,1.0,4.0,400.0,Casa
Garcia,2000000.0,3.0,1.0,4.0,425.0,Casa
Itoupava Central,2000000.0,3.0,2.0,4.0,377.0,Casa
Vila Nova,2020320.0,3.0,3.0,3.0,222.2,Apartamento
Vila Nova,2041500.0,3.0,3.0,3.0,222.0,Apartamento
Vila Nova,2100000.0,3.0,3.0,3.0,167.0,Apartamento
Bom Retiro,2100000.0,3.0,3.0,2.0,193.0,Apartamento
Bom Retiro,2100000.0,3.0,3.0,2.0,193.5,Apartamento
Escola Agrícola,2100000.0,3.0,1.0,2.0,281.0,Casa
Itoupava Central,2100000.0,3.0,3.0,3.0,293.0,Casa
Itoupava Central,2100000.0,4.0,3.0,2.0,300.0,Casa
Escola Agrícola,2100000.0,3.0,1.0,2.0,281.0,Casa
Itoupava Central,2150000.0,4.0,4.0,2.0,376.0,Casa
Itoupava Central,2150000.0,4.0,4.0,4.0,376.0,Casa
Ponta Aguda,2150000.0,5.0,3.0,4.0,710.0,Casa
Centro,2150000.0,4.0,4.0,5.0,320.0,Casa
Velha,2150000.0,4.0,1.0,6.0,297.0,Casa
Jardim Blumenau,2151600.0,3.0,3.0,3.0,186.0,Apartamento
Jardim Blumenau,2151600.0,3.0,3.0,3.0,185.0,Apartamento
Jardim Blumenau,2151600.0,3.0,3.0,3.0,184.0,Apartamento
Centro,2180000.0,4.0,4.0,6.0,395.0,Casa
Ponta Aguda,2190000.0,5.0,3.0,0.0,250.0,Casa
Jardim Blumenau,2198000.0,2.0,2.0,4.0,239.0,Apartamento
Jardim Blumenau,2200000.0,3.0,3.0,4.0,240.0,Apartamento
Itoupava Seca,2200000.0,3.0,1.0,3.0,249.0,Casa
Velha,2200000.0,5.0,3.0,0.0,700.0,Casa
Victor Konder,2200000.0,3.0,3.0,3.0,133.0,Apartamento
Jardim Blumenau,2200000.0,3.0,3.0,3.0,236.0,Apartamento
Jardim Blumenau,2200000.0,2.0,2.0,4.0,239.9,Apartamento
Jardim Blumenau,2200000.0,4.0,4.0,3.0,218.0,Apartamento
Velha,2200000.0,4.0,2.0,5.0,438.0,Casa
Itoupava Central,2200000.0,4.0,3.0,2.0,377.3,Casa
Jardim Blumenau,2200000.0,4.0,4.0,4.0,320.0,Apartamento
Jardim Blumenau,2200000.0,4.0,4.0,4.0,320.0,Apartamento
Vorstadt,2200000.0,3.0,1.0,4.0,229.0,Casa
Velha,2200000.0,3.0,1.0,2.0,543.0,Casa
Escola Agrícola,2200000.0,3.0,2.0,3.0,547.0,Casa
Itoupava Central,2249990.0,3.0,3.0,2.0,314.0,Casa
Itoupava Central,2249990.0,3.0,3.0,4.0,315.0,Casa
Bom Retiro,2250000.0,4.0,4.0,3.0,255.0,Apartamento
Vila Nova,2250000.0,4.0,4.0,3.0,222.0,Apartamento
Jardim Blumenau,2250000.0,4.0,4.0,4.0,300.0,Casa
Itoupava Seca,2250000.0,4.0,4.0,5.0,222.0,Apartamento
Victor Konder,2250000.0,3.0,3.0,3.0,204.0,Apartamento
Vila Nova,2250000.0,4.0,4.0,3.0,222.0,Apartamento
Vila Nova,2250000.0,4.0,4.0,5.0,222.2,Apartamento
Bom Retiro,2250000.0,4.0,4.0,3.0,255.0,Apartamento
Bom Retiro,2250000.0,4.0,4.0,3.0,255.0,Apartamento
Vila Nova,2250000.0,4.0,4.0,3.0,222.0,Apartamento
Bom Retiro,2250000.0,4.0,4.0,3.0,255.0,Apartamento
Jardim Blumenau,2300000.0,3.0,3.0,3.0,213.0,Apartamento
Victor Konder,2300000.0,3.0,3.0,4.0,228.0,Apartamento
Itoupava Central,2300000.0,4.0,3.0,3.0,402.0,Casa
Jardim Blumenau,2300000.0,2.0,2.0,3.0,259.0,Apartamento
