Bairros,Valores,Quartos,Suítes,Vagas,Tamanho,Tipo
Salto Norte,300000.0,1.0,1.0,1.0,52.0,Casa
Velha Central,1450000.0,3.0,1.0,3.0,460.0,Casa
Vila Nova,980000.0,3.0,1.0,2.0,106.0,Apartamento
Garcia,1199000.0,3.0,1.0,2.0,172.0,Apartamento
Vila Nova,980000.0,3.0,3.0,3.0,128.0,Apartamento
Vila Nova,790000.0,3.0,3.0,3.0,111.0,Apartamento
Fortaleza Alta,460000.0,3.0,1.0,2.0,130.0,Casa
Itoupava Seca,599000.0,3.0,1.0,2.0,96.0,Apartamento
Fortaleza,1369000.0,3.0,1.0,2.0,280.0,Apartamento
Velha,528000.0,2.0,1.0,2.0,70.0,Apartamento
Victor Konder,920000.0,3.0,3.0,3.0,103.0,Apartamento
Escola Agrícola,490000.0,3.0,2.0,2.0,123.2,Casa
Itoupavazinha,480000.0,3.0,0.0,2.0,138.0,Casa
Escola Agrícola,830000.0,3.0,1.0,2.0,87.0,Apartamento
Vila Nova,735000.0,2.0,2.0,3.0,103.6,Apartamento
Jardim Blumenau,880000.0,3.0,3.0,2.0,172.0,Apartamento
Itoupava Norte,385629.0,2.0,1.0,1.0,61.5,Apartamento
Itoupavazinha,263330.0,2.0,1.0,1.0,49.0,Apartamento
Victor Konder,1590000.0,0.0,0.0,0.0,234.0,Casa
Itoupava Central,340000.0,2.0,1.0,1.0,70.0,Apartamento
Itoupava Seca,350000.0,1.0,1.0,1.0,47.0,Apartamento
Salto Norte,600000.0,3.0,1.0,2.0,145.0,Casa
Itoupava Central,330000.0,2.0,0.0,1.0,59.0,Apartamento
Vila Nova,1300000.0,3.0,3.0,3.0,142.0,Apartamento
Testo Salto,440000.0,3.0,1.0,2.0,169.0,Casa
Progresso,235000.0,2.0,0.0,1.0,48.0,Apartamento
Fortaleza Alta,450000.0,3.0,1.0,2.0,180.0,Casa
Velha,750000.0,4.0,1.0,2.0,198.0,Casa
Jardim Blumenau,1700000.0,2.0,2.0,2.0,125.0,Apartamento
Garcia,550000.0,2.0,1.0,1.0,82.3,Casa
Velha,599000.0,2.0,1.0,2.0,71.0,Apartamento
Velha,749000.0,3.0,1.0,2.0,92.0,Apartamento
Testo Salto,459000.0,3.0,1.0,2.0,169.0,Casa
Garcia,470000.0,3.0,1.0,1.0,90.3,Apartamento
Água Verde,630000.0,3.0,1.0,2.0,147.0,Casa
Escola Agrícola,670000.0,3.0,1.0,3.0,118.0,Casa
Itoupava Central,340000.0,2.0,0.0,1.0,64.0,Apartamento
Garcia,990000.0,4.0,1.0,4.0,288.0,Casa
Victor Konder,920000.0,3.0,3.0,3.0,103.0,Apartamento
Itoupava Central,318000.0,2.0,0.0,1.0,54.7,Apartamento
Vila Nova,510000.0,2.0,2.0,1.0,77.0,Apartamento
Itoupava Central,380000.0,2.0,0.0,1.0,87.0,Apartamento
Salto Norte,899000.0,4.0,1.0,2.0,279.0,Casa
Fortaleza,349000.0,2.0,1.0,1.0,82.0,Apartamento
Velha,459000.0,2.0,2.0,2.0,90.0,Casa
Itoupava Seca,500000.0,2.0,1.0,2.0,77.0,Apartamento
Itoupava Central,349000.0,2.0,0.0,2.0,70.2,Casa
Escola Agrícola,730000.0,3.0,3.0,2.0,104.0,Apartamento
Itoupava Central,375000.0,3.0,1.0,2.0,108.0,Casa
Itoupava Central,399000.0,2.0,2.0,2.0,84.0,Casa
Água Verde,1100000.0,3.0,3.0,2.0,204.3,Casa
Água Verde,359000.0,2.0,1.0,1.0,78.0,Apartamento
Água Verde,289000.0,2.0,0.0,1.0,57.0,Apartamento
Velha Grande,280000.0,2.0,0.0,1.0,66.7,Apartamento
Victor Konder,590000.0,2.0,1.0,1.0,68.0,Apartamento
Victor Konder,380000.0,1.0,0.0,1.0,45.0,Apartamento
Itoupava Central,306000.0,2.0,1.0,1.0,54.0,Apartamento
Itoupava Central,280000.0,2.0,0.0,1.0,62.0,Apartamento
Centro,395000.0,1.0,0.0,1.0,54.0,Apartamento
Itoupava Norte,280000.0,3.0,0.0,1.0,80.1,Apartamento
Victor Konder,1100000.0,3.0,1.0,5.0,276.0,Casa
Itoupava Central,348990.0,2.0,0.0,2.0,64.9,Casa
Água Verde,650000.0,4.0,1.0,2.0,238.0,Casa
Fortaleza,349000.0,2.0,1.0,1.0,82.0,Apartamento
Itoupava Seca,325000.0,1.0,0.0,1.0,40.8,Apartamento
Vorstadt,370000.0,2.0,1.0,1.0,68.0,Apartamento
Garcia,450000.0,3.0,1.0,1.0,230.6,Casa
Água Verde,595000.0,2.0,1.0,1.0,68.0,Apartamento
Velha,898000.0,2.0,1.0,2.0,103.0,Apartamento
Salto Norte,450000.0,3.0,0.0,3.0,117.0,Casa
Ribeirão Fresco,255000.0,2.0,0.0,1.0,48.0,Apartamento
Velha Central,266000.0,3.0,0.0,1.0,77.0,Apartamento
Salto Norte,320000.0,3.0,0.0,1.0,68.0,Casa
Velha,980000.0,3.0,1.0,2.0,150.0,Casa
Velha,1750000.0,3.0,1.0,2.0,395.0,Casa
Passo Manso,565000.0,3.0,1.0,2.0,129.0,Casa
Centro,890000.0,3.0,1.0,2.0,204.0,Apartamento
Escola Agrícola,890000.0,3.0,1.0,3.0,222.0,Casa
Fortaleza,509000.0,3.0,1.0,1.0,71.0,Apartamento
Velha,780000.0,2.0,1.0,2.0,89.0,Apartamento
Fortaleza,918000.0,3.0,1.0,2.0,178.0,Casa
Itoupavazinha,950000.0,3.0,1.0,2.0,268.0,Casa
Itoupava Norte,1100000.0,3.0,1.0,3.0,250.0,Casa
Jardim Blumenau,1590000.0,3.0,3.0,3.0,164.0,Apartamento
Itoupava Central,1850000.0,3.0,1.0,4.0,221.0,Casa
Água Verde,599000.0,3.0,1.0,2.0,106.0,Apartamento
Itoupava Seca,847000.0,3.0,3.0,3.0,101.9,Apartamento
Vila Nova,430000.0,1.0,0.0,1.0,50.0,Apartamento
Fortaleza,463539.0,3.0,1.0,2.0,70.8,Apartamento
Salto Norte,495000.0,3.0,1.0,2.0,84.0,Apartamento
Escola Agrícola,597000.0,3.0,1.0,2.0,150.0,Casa
Velha,614999.0,3.0,1.0,2.0,86.0,Apartamento
Fortaleza,640000.0,2.0,1.0,2.0,78.0,Apartamento
Velha,669000.0,3.0,3.0,2.0,109.0,Apartamento
Vila Nova,720000.0,3.0,3.0,2.0,111.0,Apartamento
Vila Nova,790000.0,3.0,2.0,2.0,97.0,Apartamento
Água Verde,790000.0,3.0,1.0,2.0,120.0,Casa
Salto Norte,798000.0,3.0,1.0,6.0,249.0,Casa
Jardim Blumenau,880000.0,3.0,3.0,2.0,172.0,Apartamento
Vila Nova,900000.0,3.0,3.0,2.0,143.0,Apartamento
Escola Agrícola,950000.0,3.0,1.0,2.0,160.0,Casa
Tribess,950000.0,3.0,1.0,3.0,210.0,Casa
Nova Esperança,1100000.0,4.0,1.0,2.0,420.0,Casa
Velha,1150000.0,3.0,1.0,2.0,161.0,Casa
Victor Konder,1180000.0,4.0,4.0,3.0,226.0,Apartamento
Garcia,1225000.0,5.0,2.0,6.0,367.0,Casa
Escola Agrícola,1300000.0,3.0,1.0,3.0,419.4,Casa
Jardim Blumenau,1346000.0,3.0,3.0,2.0,154.0,Apartamento
Victor Konder,1500000.0,3.0,3.0,2.0,155.0,Apartamento
Belchior Central,1500000.0,3.0,3.0,4.0,279.0,Casa
Centro,1600000.0,2.0,2.0,2.0,124.0,Apartamento
Centro,1800000.0,4.0,1.0,2.0,360.0,Casa
Badenfurt,1890000.0,3.0,1.0,4.0,520.0,Casa
Vorstadt,1950000.0,3.0,1.0,2.0,215.0,Casa
Velha,1950000.0,3.0,1.0,2.0,283.0,Casa
Vila Nova,2000000.0,3.0,3.0,2.0,125.0,Apartamento
Escola Agrícola,2250000.0,4.0,3.0,4.0,327.0,Casa
Itoupava Norte,2300000.0,3.0,2.0,4.0,402.0,Casa
Itoupava Seca,2980000.0,4.0,4.0,4.0,301.0,Casa
Ponta Aguda,5800000.0,4.0,4.0,4.0,617.6,Casa
Velha,6500000.0,4.0,3.0,6.0,754.0,Casa
Tribess,850000.0,3.0,1.0,2.0,195.0,Casa
Itoupava Seca,695000.0,2.0,2.0,2.0,120.0,Casa
Itoupava Seca,699000.0,2.0,2.0,2.0,125.0,Casa
Salto Weissbach,420000.0,2.0,2.0,0.0,95.0,Casa
Fortaleza,420000.0,2.0,1.0,1.0,72.0,Apartamento
Velha,439900.0,2.0,2.0,1.0,80.0,Casa
Velha,560000.0,3.0,1.0,2.0,88.0,Casa
Vila Nova,579000.0,3.0,3.0,2.0,106.0,Apartamento
Centro,870000.0,3.0,3.0,2.0,106.0,Apartamento
Água Verde,1300000.0,4.0,1.0,4.0,398.0,Casa
Itoupava Seca,670000.0,3.0,1.0,2.0,104.0,Apartamento
Vorstadt,585000.0,3.0,1.0,2.0,132.0,Casa
Itoupava Norte,400000.0,2.0,1.0,1.0,75.0,Apartamento
Velha,1200000.0,3.0,1.0,2.0,260.0,Casa
Fortaleza Alta,370000.0,3.0,2.0,1.0,98.0,Casa
Água Verde,1280000.0,3.0,1.0,2.0,179.5,Casa
Jardim Blumenau,2000000.0,3.0,3.0,2.0,170.0,Apartamento
Jardim Blumenau,3990000.0,3.0,3.0,3.0,373.0,Apartamento
Victor Konder,980000.0,4.0,4.0,3.0,168.0,Apartamento
Velha,1200000.0,3.0,3.0,2.0,134.0,Apartamento
Velha,1380000.0,3.0,3.0,2.0,135.0,Apartamento
Fortaleza Alta,1499000.0,3.0,1.0,2.0,283.0,Casa
Jardim Blumenau,6800000.0,4.0,3.0,4.0,330.0,Apartamento
Fortaleza,359000.0,3.0,0.0,1.0,79.0,Apartamento
Água Verde,370000.0,2.0,2.0,1.0,67.0,Casa
Água Verde,470000.0,3.0,1.0,2.0,118.0,Casa
Fortaleza,649000.0,3.0,0.0,4.0,273.0,Casa
Velha,690000.0,3.0,0.0,2.0,95.3,Casa
Itoupava Seca,699000.0,2.0,2.0,2.0,116.0,Casa
Fortaleza,750000.0,2.0,1.0,2.0,139.0,Apartamento
Velha,760000.0,2.0,1.0,2.0,89.2,Apartamento
Vila Nova,795000.0,2.0,2.0,2.0,79.5,Apartamento
Vila Nova,995000.0,3.0,1.0,3.0,190.0,Casa
Vila Formosa,1100000.0,3.0,1.0,1.0,100.8,Apartamento
Victor Konder,1500000.0,3.0,3.0,2.0,137.0,Apartamento
Boa Vista,1590000.0,3.0,3.0,2.0,234.0,Casa
Escola Agrícola,1990000.0,5.0,3.0,4.0,421.0,Casa
Jardim Blumenau,2285000.0,4.0,4.0,4.0,259.0,Apartamento
Vila Nova,550000.0,2.0,1.0,2.0,74.0,Apartamento
Velha,995000.0,3.0,1.0,2.0,222.0,Casa
Itoupava Seca,480000.0,2.0,1.0,1.0,50.0,Apartamento
Velha,670000.0,3.0,1.0,2.0,142.0,Casa
Escola Agrícola,450000.0,2.0,1.0,2.0,61.0,Apartamento
Badenfurt,399000.0,2.0,2.0,2.0,85.0,Casa
Velha,450000.0,2.0,1.0,1.0,73.5,Apartamento
Velha,497000.0,3.0,1.0,2.0,71.0,Apartamento
Água Verde,559000.0,3.0,1.0,2.0,108.6,Casa
Água Verde,560000.0,3.0,1.0,2.0,119.5,Casa
Água Verde,580000.0,2.0,2.0,1.0,107.2,Casa
Vorstadt,599000.0,3.0,1.0,2.0,120.0,Casa
Velha,600000.0,2.0,1.0,2.0,123.0,Apartamento
